date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:37	75485/75485	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/index.html	(from )
19:18:38	156/156	---MC-	200	added ('OK')	text/plain	date:Tue,%2024%20Mar%202020%2018:18:36%20GMT	http://www.webstrot.com/robots.txt		(from )
19:18:38	1720/1720	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/favicon.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/favicon.png	(from http://www.webstrot.com/html/weapon/)
19:18:38	393/393	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/css/allplugins.css	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/css/allplugins.css	(from http://www.webstrot.com/html/weapon/)
19:18:40	142401/142401	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/style.css	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/style.css	(from http://www.webstrot.com/html/weapon/)
19:18:42	1009/1009	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/css/responsive.css	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/css/responsive.css	(from http://www.webstrot.com/html/weapon/)
19:18:42	0/0	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/css/custom.css	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/css/custom.css	(from http://www.webstrot.com/html/weapon/)
19:18:43	15514/15514	---M--	200	added ('OK')	application/javascript	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/js/vendor/modernizr-2.8.3.min.js	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/js/vendor/modernizr-2.8.3.min.js	(from http://www.webstrot.com/html/weapon/)
19:18:44	15364/15364	---M--	200	added ('OK')	image/gif	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/logo/preloader.gif	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/logo/preloader.gif	(from http://www.webstrot.com/html/weapon/)
19:18:44	75485/75485	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/index.html	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/index-2.html	(from http://www.webstrot.com/html/weapon/)
